user_id,book_id,is_read,rating,is_reviewed
1,991,1,4,1
9,2917,1,4,0
14,11831,1,4,1
14,10943,1,4,1
14,10570,1,4,1
14,8967,1,5,1
14,8960,1,4,1
16,13152,1,4,0
22,14567,1,5,0
22,14566,1,4,0
22,14560,1,4,0
30,17020,1,4,0
30,17005,1,4,1
31,13152,1,4,0
32,17567,1,4,0
34,14566,1,4,1
35,18392,1,4,1
39,19066,1,4,0
39,19065,1,4,0
42,14560,1,5,0
45,13152,1,4,0
64,19065,1,5,0
68,22399,1,4,0
68,19065,1,5,0
68,22237,1,4,0
68,22192,1,5,1
72,22628,1,5,0
80,24094,1,4,0
80,24093,1,4,0
85,24769,1,5,0
85,24768,1,5,0
85,24766,1,4,0
85,24765,1,5,0
86,24898,1,4,1
86,24885,1,5,0
86,24884,1,5,1
86,24881,1,4,0
86,24878,1,5,0
97,26764,1,4,0
100,19065,1,5,0
100,991,1,5,0
104,28187,1,4,1
106,19065,1,4,0
108,4717,1,4,0
108,3304,1,5,0
117,30335,1,4,1
124,24424,1,4,0
132,13152,1,5,0
134,3304,1,5,0
134,37751,1,4,0
134,37240,1,5,0
139,19065,1,5,0
140,39640,1,5,0
140,39639,1,5,0
140,39638,1,5,0
140,39637,1,5,0
140,39636,1,5,0
140,39635,1,5,0
140,22192,1,5,0
141,39785,1,5,0
141,39784,1,5,0
141,39771,1,5,0
142,19476,1,4,0
142,2917,1,4,1
142,39988,1,4,1
142,3304,1,4,1
145,41659,1,4,0
158,14566,1,5,1
161,38517,1,5,0
161,44881,1,5,0
161,44325,1,4,0
161,44175,1,4,0
161,43595,1,4,0
161,43529,1,4,0
161,43489,1,4,0
162,46262,1,5,0
162,46260,1,5,0
167,38539,1,4,0
167,24424,1,4,1
169,47626,1,5,0
170,47924,1,4,0
170,47923,1,4,0
170,47889,1,4,0
172,37489,1,4,0
175,48417,1,4,1
178,22232,1,4,0
182,48926,1,4,1
186,24885,1,4,0
190,50053,1,4,0
194,19452,1,5,0
199,51428,1,5,1
210,47774,1,5,0
210,53132,1,5,0
210,53072,1,5,0
211,49750,1,4,0
220,46262,1,4,0
223,24424,1,5,0
227,59250,1,4,0
235,23221,1,5,0
237,19065,1,5,0
240,46262,1,5,0
242,60510,1,5,1
243,24878,1,4,1
248,22192,1,5,0
255,13376,1,4,0
262,13152,1,4,0
266,22232,1,4,0
270,12125,1,4,0
270,12523,1,4,0
270,65065,1,4,0
271,24424,1,4,0
274,66899,1,4,0
282,19065,1,4,0
282,49746,1,4,0
282,22232,1,4,0
284,22232,1,4,1
285,14566,1,5,0
292,24424,1,4,0
292,19439,1,4,0
292,14566,1,5,0
295,69477,1,4,0
295,69336,1,4,0
297,13152,1,4,0
297,58350,1,4,0
306,24885,1,5,1
306,23221,1,4,0
307,70999,1,5,1
308,38517,1,5,0
308,14566,1,5,0
309,19065,1,4,1
314,74769,1,4,0
319,26092,1,4,0
321,12934,1,4,0
321,14566,1,4,1
323,13152,1,4,0
334,19452,1,5,0
335,19439,1,4,1
342,79876,1,5,1
343,19476,1,5,0
347,80349,1,4,0
347,14566,1,5,0
348,19065,1,5,0
348,80673,1,5,0
348,80491,1,4,0
349,82436,1,4,0
352,82614,1,4,0
352,82588,1,4,0
354,37240,1,5,1
355,82783,1,4,1
355,82774,1,5,0
358,19065,1,4,0
362,84066,1,4,0
362,84028,1,4,0
363,84079,1,4,0
363,84076,1,5,0
363,84074,1,4,0
363,84073,1,4,0
364,19065,1,5,0
365,22232,1,4,0
367,39640,1,5,0
367,39637,1,5,0
367,22192,1,5,1
370,46777,1,4,0
370,14566,1,5,1
379,12934,1,4,0
388,87573,1,4,0
388,87432,1,4,0
388,87273,1,4,0
389,87976,1,5,0
389,22192,1,4,0
390,88031,1,4,1
394,22232,1,4,0
394,22192,1,4,0
396,89810,1,4,0
396,89803,1,4,1
396,89793,1,5,0
396,89755,1,4,0
396,19452,1,4,0
400,14566,1,5,0
402,13376,1,5,0
403,14560,1,5,0
410,49746,1,5,0
413,92717,1,5,0
413,24424,1,4,0
416,93786,1,5,0
416,93770,1,4,0
425,24881,1,5,0
427,96068,1,4,0
427,10570,1,5,0
432,14566,1,4,0
433,93727,1,4,0
434,97408,1,5,0
435,42802,1,5,0
435,42798,1,5,0
436,98024,1,5,0
450,93727,1,4,0
450,38980,1,4,0
469,2811,1,4,1
469,44353,1,4,1
469,43526,1,5,1
470,103983,1,5,1
471,13152,1,5,0
